Attribute,UpdatedID,AttributeID,Value
FirstName,1018341007883789146,1348890209,Malo
LastName,1018341007883789146,1349742177,Gusto
Crossing,1018341007883789146,1346659186,14
Dribbling,1018341007883789146,1346659442,10
Finishing,1018341007883789146,1346659950,6
FirstTouch,1018341007883789146,1346659956,12
Heading,1018341007883789146,1346660452,10
LongShots,1018341007883789146,1346661491,9
Marking,1018341007883789146,1346661746,12
Passing,1018341007883789146,1346662515,12
Tackling,1018341007883789146,1346663531,13
Technique,1018341007883789146,1346663523,13
Aggression,1018341007883789146,1346658663,13
Anticipation,1018341007883789146,1346658670,12
Bravery,1018341007883789146,1346658930,14
Composure,1018341007883789146,1346659184,12
Concentration,1018341007883789146,1346659171,9
Decisions,1018341007883789146,1346659427,13
Determination,1018341007883789146,1346659429,14
Flair,1018341007883789146,1346659948,12
Influence,1018341007883789146,1346661476,8
OffTheBall,1018341007883789146,1346661750,14
Positioning,1018341007883789146,1346662516,11
Teamwork,1018341007883789146,1346663533,14
Creativity,1018341007883789146,1346664051,11
Workrate,1018341007883789146,1346664306,15
Acceleration,1018341007883789146,1346658659,17
Agility,1018341007883789146,1346658668,14
Balance,1018341007883789146,1346658924,12
JumpingReach,1018341007883789146,1346660973,10
NaturalFitness,1018341007883789146,1346661990,15
Pace,1018341007883789146,1346662499,16
Stamina,1018341007883789146,1346663277,15
Strenfth,1018341007883789146,1346663284,12
Corners,1018341007883789146,1346659187,6
FreeKicks,1018341007883789146,1346659947,6
LongThrows,1018341007883789146,1346661492,10
PenaltyTaking,1018341007883789146,1346662510,6
FullName,1018341007883789146,1348889710,First Second
Height,1018341007883789146,1349018995,179
Weight,1018341007883789146,1350002035,67
Adaptability,1018341007883789146,1348559969,0
Ambition,1018341007883789146,1348562274,0
Controversy,1018341007883789146,1348695673,0
Loyalty,1018341007883789146,1349283705,0
Pressure,1018341007883789146,1349546597,0
Professionalism,1018341007883789146,1349546607,0
Sportsmanship,1018341007883789146,1349742703,0
Temperament,1018341007883789146,1349805421,0
CurrentAbility,1018341007883789146,1346584898,138
PotentialAbility,1018341007883789146,1347436866,-85
LeftFoot,1018341007883789146,1346661478,7
RightFoot,1018341007883789146,1346663017,20
POS_DL,1018341007883789146,1348758643,0
POS_DC,1018341007883789146,1348756325,0
POS_DR,1018341007883789146,1348760179,20
POS_ML,1018341007883789146,1349348467,0
POS_MC,1018341007883789146,1349346149,15
POS_MR,1018341007883789146,1349350003,10
POS_AML,1018341007883789146,1348562284,0
POS_AMC,1018341007883789146,1348562275,11
POS_AMR,1018341007883789146,1348562290,0
POS_STC,1018341007883789146,1348559717,0
Consistency,1018341007883789146,1346659193,11
